crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4425218,132300,189000,56700,30,페라로 밀라노,변형 PQ 제에리 티셔츠 블랙(AM0EKS30239),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4769160,37000,39000,2000,5,일꼬르소,에센셜 카라 반팔 니트 아이보리 IESW5E501IV,,4.9,15,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3204708,35100,54000,18900,35,그레이버,[UNISEX]덕 페이스 자수 피케 반팔티셔츠_블랙,,4.6,16,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4940630,147300,259000,111700,43,빈폴골프,남성 골프패턴 반소매 칼라 티셔츠  브라운,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2245293,22890,32900,10010,30,무신사 스탠다드,릴렉스 핏 피케 폴로 셔츠 [크림],,4.8,284,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5041094,28200,29800,1600,5,지오다노,피케 폴로 스트라이프 반팔 카라티 015511 [2color],,5.0,4,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5079065,29900,59900,30000,50,체이스컬트,남성 쿨 카라 반팔 티셔츠-스카이블루,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4935960,95200,119000,23800,20,브룩스 브라더스,로고 코튼 피케 폴로셔츠 (버건디) (BBNTMO201AEFM),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5143496,69000,69000,0,0,유에스 폴로 어신,Summer PQ 라운드 티셔츠_딥그린,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4993875,85120,128000,42880,34,브렌우드,[퍼포먼스] 칼라 포인트 폴로넥 티셔츠 BRTAM25001KHX,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4098045,59000,128000,69000,54,루이까스텔,[110사이즈 즉시출고] 남성 YOKO 프린트 C/P PK 티셔츠,,5.0,1,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4766184,52000,65000,13000,20,르마드,스탠드 카라 니트 - MOCHA,,4.8,11,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4221315,49000,179000,130000,73,페라로 밀라노,남성 크로쉐 오픈카라 반팔 스웨터 네이비 (AM0DTS23149),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4979641,89900,89900,0,0,세리니 바이 피에이티,남성 반팔 워셔블 발수 기능성 셔츠 4종 24m,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4250083,17900,29900,12000,40,에잇세컨즈,데일리 피케 오버핏 티셔츠  애쉬,,4.9,12,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3294818,239000,239000,0,0,레노마골프,남성 체커 보드 카라 반팔 티셔츠 RMTPM2130-199,,5.0,1,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3285114,239000,239000,0,0,레노마골프,남성 플라워 카라 반팔 티셔츠 RMTYM2125-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3285105,219000,219000,0,0,레노마골프,남성 플라워 카라 반팔 티셔츠 RMTPM2124-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3224382,259000,259000,0,0,레노마골프,남성 등판 져지 믹스 카라 반팔 니트 RMSPM2202-199,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4943008,125300,179000,53700,30,타미힐피거,테크 스트레치 폴로셔츠 (T12F3TKT190MT1C9T),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4098196,79000,170000,91000,54,루이까스텔,남성 사선 양두 조직 쇼바리 에리 스웨터,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4505080,138000,138000,0,0,프레드페리,[M3600] 트윈 팁 프레드페리 셔츠 - 헌팅그린/LOYST/LWG AFPM2433600-W92,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4178937,239200,299000,59800,20,말본 골프,파라다이스 티셔츠 ORANGE (MAN),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4835235,145600,208000,62400,30,프레드페리,[Clubhouse] 엠브로이더드 폴로 셔츠 - 에크루 AFPM2519834-560,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4875174,259000,259000,0,0,레노마골프,25SS 남성 소매 포인트 카라 반팔 니트 RMSPO2201-804,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2576264,318000,318000,0,0,이노스 골프,조쉬 폴로 블랙,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4969186,207200,259000,51800,20,예작,아가일 스카시 티에리 버튼 카라 티셔츠 그린 YJEMCD451GR,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/2197172,43000,43000,0,0,프로월드컵,[PWX]Q321-3352-1NV 남성 도트 카라 티셔츠,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3998730,43500,58000,14500,25,아웃스탠딩,HS STRIPE KNIT COLLAR SHIRT_BRICK,,4.9,132,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4931412,79200,99000,19800,20,홀릭앤플레이,남성 앞판 배색 반팔 스웨터 HF2MSW002BE,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5075267,125300,179000,53700,30,페라로 밀라노,솔리드 베이직 티에리 네이비 (AM0FTSY20149),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5091949,80100,89000,8900,10,커스텀어스,빅보더 히든버튼 남자 반팔 카라 티셔츠 CXS25MKKT422 GRN,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4221267,79000,199000,120000,60,페라로 밀라노,남성 에센셜 카라 반팔 카디건 옐로우 (A0CA20563),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1968164,37800,54000,16200,30,그레이버,[UNISEX]도트스마일 자수 피케 반팔티셔츠_블랙,,4.5,12,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4893091,339000,339000,0,0,어뉴골프,MEN SM JACQUARD HYBRID SHORT T-SHIRT_WH,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3862281,24900,59900,35000,58,체이스컬트,남성 모던 카라 긴팔 티셔츠-DARK5122B0G,,5.0,2,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/1620270,189000,189000,0,0,폴로 랄프 로렌,[10% 적립금] 커스텀 슬림 핏 롱 슬리브 폴로 - 그레이,,4.8,173,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4992638,34300,49000,14700,30,글랙,GNT016 몹스터 스트라이프 카라 니트 (OLIVE),,4.7,3,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3997334,222600,318000,95400,30,어뉴골프,MEN BAND DETAIL LONG T-SHIRT_WH,,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5077888,119000,119000,0,0,브룩스 브라더스,코튼 피케 폴로 셔츠 (레드) (BBNTMF8029E),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4762606,101000,159000,58000,36,빈폴 멘,미니와플 칼라넥 티셔츠  아이보리 (BC5141C120),,,,TOP,1003,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3967077,69000,142000,73000,51,루이까스텔,남성 등소매 타공 아이루카 티셔츠,,,,TOP,1003,M,success
