crawling_status,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4655122,21900,21900,0,0,무신사 스탠다드,피그먼트 탱크 탑 [애쉬 그레이],,4.7,26,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4771255,29660,43000,13340,31,페르메논,머슬핏 심볼 로고 슬리브리스 - 화이트,,5.0,1,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5073863,23100,36000,12900,36,드릭스,크랙 그래픽 오버핏 슬리브리스_5color,,4.6,32,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4949295,23000,32000,9000,28,레이지비,머슬 매쉬 저지 오버핏 탱크탑 W (2컬러),,5.0,6,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4888736,23800,34000,10200,30,드릭스,시그니처 머슬핏 립브드 슬리브리스_5color,,4.5,398,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/5157239,35000,35000,0,0,인더로우,LINEAR RIB SLEEVELESS - 5 COLOR,,5.0,2,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3794842,44000,49000,5000,10,본투윈,B-SYMBOL LOGO SLEEVELESS_NON MESH VER [IVORY],,4.9,200,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4247493,24300,45000,20700,46,페르메논,스탠다드 로고 절개 나시 - 블랙,,4.8,90,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4893249,44100,49000,4900,10,에이치덱스,크랙 프린티드 피그먼트 슬리브리스 (Pigment Charcoal),,4.9,26,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/4928946,24800,36000,11200,31,나인제트,스몰로고 골지 슬리브리스 (블랙) 25SL04,,4.2,6,TOP,1011,M,success
"{'image_section': 'success', 'detail_section': 'success'}",https://www.musinsa.com/products/3973480,44100,49000,4900,10,마리떼 프랑소와 저버,CLASSIC LOGO SLEEVELESS black,,4.9,55,TOP,1011,M,success
