crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",3440143,https://www.musinsa.com/products/3440143,59900,119000,59100,50,트래블,절개 워싱 데님 팬츠 인디고 블루,1.3만,4.9,735,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4852849,https://www.musinsa.com/products/4852849,32800,50000,17200,34,하프나인,투턱 디테일 와이드 스트레치 청바지 G12BRD_HXV11309 [흑청],375,5.0,28,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3904095,https://www.musinsa.com/products/3904095,39900,59000,19100,32,수아레,[무료반품] 린넨 데님 워시드 밴딩 팬츠 - 3 COLOR,7.9천,4.8,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4837097,https://www.musinsa.com/products/4837097,46200,69000,22800,33,와르,[-6cm 숏버전 추가] M250 썸머 와이드 데님 팬츠_연청,1.4천,4.9,117,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4103468,https://www.musinsa.com/products/4103468,29900,49000,19100,39,시그니처,썸머 하프밴딩 린넨 데님 팬츠[라이트인디고],4.0천,4.7,381,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3201942,https://www.musinsa.com/products/3201942,29400,49000,19600,40,토피,내츄럴 린넨 데님 와이드 팬츠 (OFF WHITE),6.4천,4.9,851,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2103617,https://www.musinsa.com/products/2103617,87200,109000,21800,20,유니폼브릿지,selvedge denim pants indigo,8.5천,4.8,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3626499,https://www.musinsa.com/products/3626499,165000,165000,0,0,플라스틱프로덕트,MPa 페인터 데님 (BLACK),397,5.0,13,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4066300,https://www.musinsa.com/products/4066300,23600,59000,35400,60,데케트,[썸머 린넨라이크]Linen Like Cropped Tapered Jeans DCPTOL4Blue,554,4.8,75,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2360071,https://www.musinsa.com/products/2360071,32400,54000,21600,40,밀리언코르,[9283] 시그니처 아이보리 세미와이드 코튼 팬츠,1.0만,4.8,1천+,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2439102,https://www.musinsa.com/products/2439102,99000,99000,0,0,리바이스,501® 오리지널 진_00501-0193,2.9천,4.8,353,BOTTOM,3002,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4340772,https://www.musinsa.com/products/4340772,29300,59000,29700,50,블론드나인,이지 워시드 와이드 데님 팬츠 [빈티지블랙],3.7천,4.7,111,BOTTOM,3002,M,success
