crawling_status,product_id,product_href,product_price,product_original_price,product_discount_price,product_discount_rate,product_brand_name,product_name,num_likes,avg_rating,review_count,category_main,category_sub,gender,success_status
"{'image_section': 'success', 'detail_section': 'success'}",4960050,https://www.musinsa.com/products/4960050,35000,40600,5600,14,에르비노,케이블 헨리넥 머슬핏 반팔 니트[네이비],481,4.1,7,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3996559,https://www.musinsa.com/products/3996559,35550,79000,43450,55,르뎁트,[무료반품] 프렌치 린넨 스카시 오픈 티에리 [브라운],289,5.0,7,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2435004,https://www.musinsa.com/products/2435004,23900,69900,46000,66,마인드브릿지,[쿨]코튼라운드반팔니트 - 3color MXKT3121,1.3천,4.8,369,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3933081,https://www.musinsa.com/products/3933081,43890,59900,16010,27,무신사 스탠다드,크로셰 니티드 폴로 셔츠 [아이보리],1.8천,4.8,202,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3202947,https://www.musinsa.com/products/3202947,29500,59000,29500,50,토피,쿨 케이블 카라 하프 니트 (BLACK),9.8천,4.8,832,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5062167,https://www.musinsa.com/products/5062167,45600,57000,11400,20,인템포무드,호라이즌 스트라이프 카라 니트_블랙,431,4.9,16,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5030890,https://www.musinsa.com/products/5030890,38500,55000,16500,30,엑스오엑스,[해피가이정호 PICK] 베이직 쿨 라운드 반팔 니트 [BLACK],275,5.0,11,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4724880,https://www.musinsa.com/products/4724880,22900,109000,86100,79,마틴발,린넨 블렌디드 반팔 카라니트_멜란지그레이,145,4.7,26,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5042401,https://www.musinsa.com/products/5042401,35200,44000,8800,20,알리스,블렌디드 스트라이프 하프 니트티셔츠 [블랙],1.1천,4.8,55,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5112143,https://www.musinsa.com/products/5112143,34200,57000,22800,40,그레이블러밧,글로우 오픈 카라 니트 반팔 GKBST32 (NAVY),320,4.9,8,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4075172,https://www.musinsa.com/products/4075172,119000,119000,0,0,블랭크룸,칠링 폴로 니트_FOREST GREEN,487,5.0,43,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4060643,https://www.musinsa.com/products/4060643,29500,65700,36200,55,에이지오디,[SET]썸머 워셔블 하프 니트 세트,1.9만,4.8,2천+,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4780714,https://www.musinsa.com/products/4780714,89250,119000,29750,25,마틴플랜,Net Collar knit - BLACK,1.0천,4.0,4,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2423042,https://www.musinsa.com/products/2423042,39200,49000,9800,20,니티드,쿨 썸머 에센셜 라운드 반팔 니트티 BLACK,6.4천,4.8,1천+,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3968466,https://www.musinsa.com/products/3968466,16900,49000,32100,66,키뮤어,[디나쑈 PICK]코튼 오픈카라 케이블 하프 니트_5 COLOR,2.3천,4.9,189,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3989453,https://www.musinsa.com/products/3989453,63000,79900,16900,21,마인드브릿지,케이블 카라 반팔 니트 - 3color,1.2천,4.9,121,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4005113,https://www.musinsa.com/products/4005113,23900,56000,32100,57,세컨모놀로그,린넨라이크 크로셰 하프 집업 니트 [LGRAY]_SEKT019LGRAY,1.1천,5.0,68,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3164436,https://www.musinsa.com/products/3164436,27650,79000,51350,65,이벳필드,브루클린 이글스 반팔 니트 집업 스카이블루,444,4.8,36,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4842980,https://www.musinsa.com/products/4842980,15800,35000,19200,55,리메인세컨드,린넨 라이크 오버핏 워셔블 카라넥 반팔 니트 [네이비],484,4.9,18,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3931255,https://www.musinsa.com/products/3931255,43500,67000,23500,35,더니트컴퍼니,코튼 캐시미어 크루넥 니트 [차콜브라운],661,4.9,242,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2032985,https://www.musinsa.com/products/2032985,71400,119000,47600,40,세터,이비자 내추럴 메시드 니트 내추럴 그린,1.3만,4.9,2천+,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3257327,https://www.musinsa.com/products/3257327,19900,49500,29600,60,르마드,라운드 하프니트 - 2color,5.3천,4.8,1천+,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3995282,https://www.musinsa.com/products/3995282,19470,59000,39530,67,르뎁트,[무료반품] 썸머 쿨 니트 풀오버 [블랙],1.3천,5.0,51,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4005099,https://www.musinsa.com/products/4005099,19900,49000,29100,59,세컨모놀로그,키홀 부클 카라 숏슬리브 니트 [6 COLOR]_SEKT007,972,4.8,122,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3939902,https://www.musinsa.com/products/3939902,29500,59000,29500,50,어반디타입,케이블 펀칭 카라 니트_올리브,1.3천,4.9,51,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4162202,https://www.musinsa.com/products/4162202,25990,54000,28010,52,토피,쿨 카라 하프 니트 7 COLOURS,763,4.8,45,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2224282,https://www.musinsa.com/products/2224282,39900,89000,49100,55,메종미네드,CREW NECK KNIT HALF SLEEVE IVORY,800,4.8,84,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4051706,https://www.musinsa.com/products/4051706,29900,60000,30100,50,르아르,에브리데이 카라 반팔 니트 - 7 COLOR,328,4.4,9,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4999889,https://www.musinsa.com/products/4999889,25200,42000,16800,40,굿라이프웍스,스트라이프 카라 하프 니트 네이비,537,4.7,22,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5094181,https://www.musinsa.com/products/5094181,80100,89000,8900,10,비욘드클로젯,[COLLECTION LINE] 린넨 블렌디드 빈티지 가먼트 헨리넥 니트 아이보리,275,4.8,9,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4055985,https://www.musinsa.com/products/4055985,29900,49800,19900,40,트릴리온,워셔블 부클 오픈 카라 하프 니트 (DUSTY KHAKI),1.8천,4.7,69,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4939638,https://www.musinsa.com/products/4939638,29890,42720,12830,30,언탭트 스튜디오,워셔블 쿨 코튼 케이블 반팔 라운드 니트 4Color,698,4.9,91,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5156861,https://www.musinsa.com/products/5156861,69220,89900,20680,23,바우로 프로덕트,[무료반품] 스트라이프 머슬 헨리넥 니트 [브라운],36,5.0,4,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3971745,https://www.musinsa.com/products/3971745,47900,118000,70100,59,토피,[2PACK] 클래식 케이블 라운드넥 하프 니트 (5 COLOURS),1.6천,4.6,79,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4928479,https://www.musinsa.com/products/4928479,35990,55000,19010,35,나인제트,헨리넥 반팔 머슬 니트 (차콜) 25NTS05,2.8천,4.9,118,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2668722,https://www.musinsa.com/products/2668722,47200,59000,11800,20,씨웨어바이더지니어스,시스루 크래프트 니트 풀오버 블랙,1.6천,4.9,69,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4154383,https://www.musinsa.com/products/4154383,63200,79000,15800,20,유니온블루,HARD TWIST COMFORT POLO KNIT [DEEP BLUE],894,4.9,156,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4934378,https://www.musinsa.com/products/4934378,33600,48000,14400,30,드로우핏,쿨링 모달 하프 라운드 니트 [NAVY],922,5.0,41,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3130768,https://www.musinsa.com/products/3130768,49800,72000,22200,31,니티드,코튼 블록 카라 하프 니트티 NAVY,566,4.8,57,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2396645,https://www.musinsa.com/products/2396645,29500,59000,29500,50,수아레,워셔블 하찌 니트 - 12 COLOR,10만,4.8,3만+,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5062168,https://www.musinsa.com/products/5062168,49900,57000,7100,12,인템포무드,호라이즌 스트라이프 카라 니트_그레이,1.8천,4.9,45,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4103620,https://www.musinsa.com/products/4103620,70400,88000,17600,20,얼킨,[런웨이] 무궁 크로셰 니트 풀오버_블랙,417,4.8,5,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4102082,https://www.musinsa.com/products/4102082,49800,111900,62100,55,세컨모놀로그,[SET]코튼 워싱 하프 니트 (2 STYLE&3 COLOR)_SEKT022SEKT023,1.1천,4.9,100,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3201910,https://www.musinsa.com/products/3201910,54500,109000,54500,50,아노블리어,슬래시 펀칭 하프니트 [애쉬카키],2.5천,4.8,625,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4186560,https://www.musinsa.com/products/4186560,14900,69000,54100,78,매너그램,퓨어코튼100 라운드니트_그린라벨 - 4 color,422,4.5,41,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3143786,https://www.musinsa.com/products/3143786,19900,39000,19100,49,키뮤어,[우연PICK] (카라 OR 라운드) 린넨라이크 하프 니트_7 COLOR,4.0천,4.9,522,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3859184,https://www.musinsa.com/products/3859184,14900,49000,34100,70,커스텀어클락,쿨 린넨라이크 케이블 카라 숏 슬리브 니트 10 COLOR,5.5천,4.7,745,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5089648,https://www.musinsa.com/products/5089648,75650,89000,13350,15,브랜디드,HARD TWIST RIBBED HENLEY NECK HALF KNIT [MELANGE GREY],311,5.0,15,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3933084,https://www.musinsa.com/products/3933084,35890,47900,12010,25,무신사 스탠다드,부클 슬릿 넥 니티드 폴로 셔츠 [블랙],810,4.9,116,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3939873,https://www.musinsa.com/products/3939873,29500,59000,29500,50,어반디타입,체커보드 카라 니트_블랙,719,4.9,12,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4999087,https://www.musinsa.com/products/4999087,36400,52000,15600,30,르마드,스트라이프 카라 하프 니트 - BURGUNDY,281,4.9,24,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3971272,https://www.musinsa.com/products/3971272,25900,59000,33100,56,토피,클래식 케이블 라운드넥 하프 니트 (BROWN),697,4.7,42,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",1925442,https://www.musinsa.com/products/1925442,33600,48000,14400,30,드로우핏,쿨링 모달 하프 라운드 니트 [BLACK],2.2천,4.8,604,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5108335,https://www.musinsa.com/products/5108335,48300,69000,20700,30,니티드,쿨에버 헨리넥 반팔 니트 BLACK,271,4.8,4,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3989444,https://www.musinsa.com/products/3989444,47000,79900,32900,41,마인드브릿지,조직 변형 카라 반팔 니트 - 3color,410,4.9,101,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3996488,https://www.musinsa.com/products/3996488,26550,59000,32450,55,르뎁트,[무료반품] 코튼 하프 집업 골지 니트 [아이보리],260,5.0,8,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3197228,https://www.musinsa.com/products/3197228,49800,77000,27200,35,니티드,오픈카라 리브드 반팔 니트티 BLACK,250,5.0,16,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5050459,https://www.musinsa.com/products/5050459,29910,42720,12810,30,언탭트 스튜디오,머슬핏 워셔블 케이블 반팔 라운드 니트 3Color,232,4.8,19,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5068730,https://www.musinsa.com/products/5068730,30000,40000,10000,25,드로우핏,[DRAW FIT X MANJAE] 리브드 헨리넥 하프 티셔츠 [BLACK],5.3천,3.8,74,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4139020,https://www.musinsa.com/products/4139020,42250,65000,22750,35,노이어,리브드 헨리넥 하프 니트 (그레이),867,4.9,74,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4087100,https://www.musinsa.com/products/4087100,49500,99000,49500,50,트래블,스모크 니트 반팔 블랙,587,5.0,5,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3939885,https://www.musinsa.com/products/3939885,29500,59000,29500,50,어반디타입,체커보드 카라 니트_올리브,546,4.7,11,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2030178,https://www.musinsa.com/products/2030178,31850,49000,17150,35,엑스톤즈,XTK016 대퍼딜 꽈배기 니트 (NAVY),1.8만,4.9,2천+,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4143492,https://www.musinsa.com/products/4143492,19900,42500,22600,53,노드유,섬머 비비드 컬러 배색 카라 니트,2.7천,4.8,93,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4218828,https://www.musinsa.com/products/4218828,34800,44800,10000,22,음,선셋 썸머 린넨라이크 긴팔니트 블랙,529,4.6,20,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5036614,https://www.musinsa.com/products/5036614,71100,79000,7900,10,유니온블루,HARD TWIST SPREAD POLO HALF KNIT [MELANGE GRAY],257,4.9,34,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5042406,https://www.musinsa.com/products/5042406,51800,74000,22200,30,알리스,[켄시X알리스] 메쉬 스프레드 아트웍 하프 티셔츠 [크림],2.0천,4.7,63,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4951443,https://www.musinsa.com/products/4951443,45890,65570,19680,30,언탭트 스튜디오,[SET]워셔블 쿨코튼 케이블 니트3종,2.0천,4.9,188,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4079521,https://www.musinsa.com/products/4079521,52800,68000,15200,22,데꼬로소,린넨 라이크 카라 반팔 니트 가디건 [그레이],1.8천,4.9,205,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2545802,https://www.musinsa.com/products/2545802,49800,65000,15200,23,니티드,쿨에버 PK 반팔 니트티 BLACK,3.2천,4.8,623,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4096954,https://www.musinsa.com/products/4096954,25990,69000,43010,62,토피,피셔맨 집업 카라 하프 니트 (BROWN),257,4.9,15,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5107471,https://www.musinsa.com/products/5107471,35200,47000,11800,25,인템포무드,하프 위트 버튼 스트라이프 니트_그레이,478,4.7,6,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3856577,https://www.musinsa.com/products/3856577,32800,89000,56200,63,미니멀프로젝트,케이블 카라 쿨 드라이 반팔 니트 MNT110 / 6color,691,5.0,49,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5060623,https://www.musinsa.com/products/5060623,66000,110000,44000,40,엑스오엑스,[2PACK] 베이직 쿨 라운드 반팔 니트 - 4color,100,5.0,6,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5101750,https://www.musinsa.com/products/5101750,699000,699000,0,0,폴로 랄프 로렌,폴로 랄프 로렌 양키스 베어 스웨터-화이트,75,,,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",2543159,https://www.musinsa.com/products/2543159,67200,168000,100800,60,셔터,FINE GUAGE RESORT COLLAR HALF KNIT (ASH BLACK),207,4.5,2,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4145981,https://www.musinsa.com/products/4145981,61600,88000,26400,30,밀로 아카이브,블록 하프 카라 니트 [블랙],198,,,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4060514,https://www.musinsa.com/products/4060514,24970,49800,24830,50,트릴리온,워셔블 케이블 하프 슬리브 버튼 업 니트 (ORANGE),412,4.9,65,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4644593,https://www.musinsa.com/products/4644593,39890,43900,4010,9,무신사 스탠다드,쿨 터치 크루 넥 반소매 니트 [블랙],906,4.9,158,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5030894,https://www.musinsa.com/products/5030894,33500,63000,29500,47,엑스오엑스,[데일리룸 PICK] 버튼 카라 썸머 쿨 반팔 니트 [BLACK],501,4.9,11,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3457284,https://www.musinsa.com/products/3457284,60300,67000,6700,10,베르드누아,메쉬 그래픽 니트,2.5천,5.0,119,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5129442,https://www.musinsa.com/products/5129442,69300,99000,29700,30,디앤에스알,사이드 버튼 헨리넥 하프 니트 블랙,112,5.0,3,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",3240418,https://www.musinsa.com/products/3240418,25900,47000,21100,45,엑스컨테이너,라운드 넥 하프 니트 (NAVY),6.7천,4.8,579,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5114911,https://www.musinsa.com/products/5114911,55000,55000,0,0,르마드,헨리넥 펀칭 하프 니트 - BLACK,69,,,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",5112843,https://www.musinsa.com/products/5112843,75650,89000,13350,15,브랜디드,HARD TWIST RESORT POLO KNIT [GRAPHITE],534,5.0,17,TOP,1006,M,success
"{'image_section': 'success', 'detail_section': 'success'}",4842983,https://www.musinsa.com/products/4842983,17800,37000,19200,52,리메인세컨드,오버핏 워셔블 크루넥 케이블 반팔 니트 [블랙],273,5.0,20,TOP,1006,M,success
